Age,Total_Both_Sexes,Total_Male,Total_Female,White_Both_Sexes,White_Male,White_Female,All_Other_Both_Sexes,All_Other_Male,All_Other_Female
76,"51,388","40,342","62,681","53,037","41,752","64,426","39,105","30,146","48,621"
77,"48,532","37,360","59,894","50,141","38,681","61,749","36,515","27,803","45,841"
78,"45,505","34,350","57,030","47,146","35,590","58,869","33,989","25,547","43,093"
79,"42,601","31,399","54,010","44,081","32,510","55,238","31,515","23,395","40,278"
80,"39,575","28,478","50,935","40,970","29,475","52,676","29,129","21,288","37,713"
81,"36,545","25,641","47,741","37,842","26,519","49,400","26,837","19,311","35,138"
82,"33,541","22,921","44,481","34,722","23,677","46,033","24,699","17,482","32,716"
83,"30,560","20,355","41,138","31,598","20,985","42,588","22,789","15,856","30,538"
84,"27,731","17,981","37,851","28,609","18,469","39,080","21,205","14,506","28,718"
85,"24,990","15,839","34,527","25,666","16,172","35,521","20,067","13,524","27,394"
